disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_ratror,st_teff,sy_dist
2004,1,0,0,1,0,0,0,0,0,0,0.7365515,0.015691,,8.13928,0.04,,,,,12.5855
2004,1,0,0,1,0,0,0,0,0,0,0.7365478,0.015439,,8.09479,0.028,,,,5250,12.5855
2004,1,0,0,1,0,0,0,0,0,0,,0.01544,1.92,8.08,,,,0.0187,5250,12.5855
2004,1,0,0,1,0,0,0,0,0,0,0.736539,0.01544,1.91,8.08,,,,0.0187,5250,12.5855
2004,1,0,0,1,0,0,0,0,0,0,0.736546,0.01583,2.173,8.37,0,,,,5250,12.5855
2004,1,0,0,1,0,0,0,0,0,0,2.808,0.038,,14.30235,0.174,,,,,12.5855
2004,1,0,0,1,0,0,0,0,0,0,0.7365474,0.01544,1.875,7.99,0.05,,,0.0182,5172,12.5855
2004,1,0,0,1,0,0,0,0,0,0,2.79674,0.0377,,7.4687,0.264,,,,5250,12.5855
2004,1,0,0,1,0,0,0,0,0,0,,,,,,,,,5250,12.5855
2004,1,0,0,1,0,0,0,0,0,0,0.7365417,,,,,,,0.01936,,12.5855
2004,1,0,0,1,0,0,0,0,0,0,0.7365445,0.01583,,9.37594,0.036,,,,5317.89,12.5855
2004,1,0,0,1,0,0,0,0,0,0,0.7365437,0.01544,2.08,7.81,0.061,,1958,0.0202,5234,12.5855
2004,1,0,0,1,0,0,0,0,0,0,0.73654,0.01583,2,8.63,,,,0.0195,,12.5855
2007,1,0,0,0,0,0,0,0,0,0,260.98,0.792,,46.87969,0.142,,,,5317.89,12.5855
2007,1,0,0,0,0,0,0,0,0,0,261.2,0.77,,54.664,0.32,,,,5250,12.5855
2007,1,0,0,0,0,0,0,0,0,0,260.91,0.7733,,47.0051,0.08,,,,5250,12.5855
2007,1,0,0,0,0,0,0,0,0,0,259.88,0.7708,,47.8,0.08,,,,5172,12.5855
2007,1,0,0,0,0,0,0,0,0,0,262,0.788,,44.812,0.305,,,,,12.5855
2007,1,0,0,0,0,0,0,0,0,0,260,0.781,,45.766,0.2,,,,5250,12.5855
2007,1,0,0,0,0,0,0,0,0,0,260.7,0.775,,44.812,0,,,,5250,12.5855
2008,1,0,0,0,0,0,0,0,0,0,934.3,2.11,,638.8383,0.073,,,,4938,54.6599
2008,1,0,0,0,0,0,0,0,0,0,874.774,2.18,,702.4043,0.125,,,,,54.6599
2008,1,0,0,0,0,0,0,0,0,0,899,2.2,,762.8,0.134,,,,4978,54.6599
2009,1,0,0,0,0,0,0,0,0,0,4.21487,0.04956,,5.11704,0.099,,,,5585.57,8.50332
2009,1,0,0,0,0,0,0,0,0,0,4.215,0.050201,,5.1,0.12,,,,5577,8.50332
2009,1,0,0,0,0,0,0,0,0,0,38.021,0.2175,,18.2,0.14,,,,5577,8.50332
2009,1,0,0,0,0,0,0,0,0,0,38.0957,0.2151,,16.1139,0.068,,,,5585.57,8.50332
2009,1,0,0,0,0,0,0,0,0,0,123.01,0.476,,22.9,0.35,,,,5577,8.50332
2011,1,0,0,0,0,0,0,0,0,0,763,1.9,,826.3,0.14,,,,4792,19.8101
2011,1,0,0,0,0,0,0,0,0,0,735.1,1.758,,587.9855,0.06,,,,4826,19.8101
2011,1,0,0,0,0,0,0,0,0,0,796,1.93,,781.8618,0.22,,,,4794.52,19.8101
2019,1,0,0,0,0,0,0,0,0,0,996,2.153,,276.5121,0.08,,,,4826,19.8101
1996,1,0,0,0,0,0,0,0,0,0,116.6884,0.484,,2380.45,0.4007,,,,5545,17.9011
1996,1,0,0,0,0,0,0,0,0,0,116.689,0.456,,2084.88,0.397,,,,,17.9011
1996,1,0,0,0,0,0,0,0,0,0,116.6926,0.481,,2351.942,0.399,,,,5439,17.9011
1996,1,0,0,0,0,0,0,0,0,0,116.69335,0.4765,,2297.89938,0.3989,,,,5481.86,17.9011
1996,1,0,0,0,0,0,0,0,0,0,116.6884,0.48,,2421.8646,0.4,,,,5531,17.9011
1996,1,0,0,0,0,0,0,0,0,0,116.688,0.481,,2357.02728,0.3988,,,,5495,17.9011
2012,1,0,0,0,0,0,0,0,0,0,691.9,2.1,,953.49,0.117,,,,4846,82.9613
2015,1,0,0,0,0,0,0,0,0,0,93.4,0.49,,416.3573,0.06,,,,4847,162.552
2015,1,0,0,0,0,0,0,0,0,0,93.4,0.49,,476.745,0.06,,,,4847.4,162.552
2008,1,0,0,0,0,0,0,0,0,0,,2.17,,1274.4,,,,,,101.26
2008,1,0,0,0,0,0,0,0,0,0,952.7,2.5,,1684.4,0.206,,,,4785,101.26
2013,1,0,0,0,0,0,0,0,0,0,181.4,0.7,,1017,0.027,,,,4665,44.0304
2022,0,0,0,0,0,0,0,0,1,0,,93.9,,2860.45566,0.4,,,,9770,162.127
2005,0,0,0,0,0,0,0,0,1,0,,260,,4290.5,,,,,,50.0475
2023,0,0,0,0,0,0,0,0,1,0,7520,7.99,,1664.46737,0.47,,1400,,6100,26.8564
2023,0,0,0,0,0,0,0,0,1,0,9060,9.3,,1366.66215,0.32,,,,6140,26.8564
2020,1,0,0,1,0,0,0,0,0,0,8.463,,,11.7,0.04,,,,3700,9.7221
2020,1,0,0,1,0,0,0,0,0,0,8.463,0.0645,4.07,17,0,,593,0.0496,3700,9.7221
2020,1,0,0,1,0,0,0,0,0,0,8.4630004,0.0644,4.19,,0.12,,,0.0512,,9.7221
2020,1,0,0,1,0,0,0,0,0,0,8.4629991,0.0645,,20.12,0.186,,,,,9.7221
2020,1,0,0,1,0,0,0,0,0,0,8.46321,0.066,4.203,57.2094,0.1,,,0.0514,3700,9.7221
2020,1,0,0,1,0,0,0,0,0,0,8.46321,,,17.1,,,,,3700,9.7221
2020,1,0,0,1,0,0,0,0,0,0,,,4.027,,,76.64,755,,3588,9.7221
2021,1,0,0,1,0,0,0,0,0,0,18.858991,0.1101,,9.6,,,,,,9.7221
2021,1,0,0,1,0,0,0,0,0,0,18.859019,0.1101,3.24,13.6,0,,454,0.0395,3700,9.7221
2021,1,0,0,1,0,0,0,0,0,0,18.858982,0.11,2.79,,0.13,,,0.034,,9.7221
2021,1,0,0,1,0,0,0,0,0,0,18.859019,,,22.2,0.041,,,,3700,9.7221
2017,1,0,0,0,0,0,0,0,0,0,481.9,1.3,,2034.112,0.2,,,,4095,1070.63
2009,1,0,0,0,0,0,0,0,0,0,268.94,0.78,,330.5432,0.29,,,,4864,49.352
2009,1,0,0,0,0,0,0,0,0,0,268.94,0.777,,467.19,0.29,,,,5008,49.352
