hostname,default_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,sy_dist
HATS-1,0,Transit,2012,HATSouth,3.44645291,,12.488,1200,283.971
HATS-1,0,Transit,2012,HATSouth,3.44645559,,,,283.971
HATS-1,0,Transit,2012,HATSouth,3.4464553,,,,283.971
HATS-1,1,Transit,2012,HATSouth,3.446459,0.0444,14.594,1359,283.971
HATS-10,1,Transit,2015,HATSouth,3.312846,0.04491,10.862,1407,534.889
HATS-10,0,Transit,2015,HATSouth,3.312846,0.04493,10.862,,534.889
HATS-11,0,Transit,2016,HATSouth,3.619192,,10.2,,944.603
HATS-11,0,Transit,2016,HATSouth,3.6191634,,16.668,,944.603
HATS-11,0,Transit,2016,HATSouth,3.619167,,17.7,,944.603
HATS-11,1,Transit,2016,HATSouth,3.619188,0.0507,18.03,1596,944.603
HATS-11,0,Transit,2016,HATSouth,3.6191613,0.04614,16.926,1637,944.603
HATS-12,0,Transit,2016,HATSouth,3.142811,,5.69,,746.138
HATS-12,0,Transit,2016,HATSouth,3.1428347,,15.513,,746.138
HATS-12,0,Transit,2016,HATSouth,3.142833,0.04795,15.132,2097,746.138
HATS-12,1,Transit,2016,HATSouth,3.142702,0.0441,7.76,1446,746.138
HATS-12,0,Transit,2016,HATSouth,3.142846,,8.845,,746.138
HATS-12,0,Transit,2016,HATSouth,3.14272,,7.8,,746.138
HATS-13,1,Transit,2015,HATSouth,3.0440499,0.04057,13.585,1244,421.855
HATS-13,0,Transit,2015,HATSouth,3.04405407,,12.109,1075,421.855
HATS-13,0,Transit,2015,HATSouth,3.0440511,,,,421.855
HATS-13,0,Transit,2015,HATSouth,3.0440499,0.04059,13.585,,421.855
HATS-13,0,Transit,2015,HATSouth,3.0440546,,,,421.855
HATS-13,0,Transit,2015,HATSouth,3.04405314,,,,421.855
HATS-14,0,Transit,2015,HATSouth,2.76675696,,,,513.011
HATS-14,0,Transit,2015,HATSouth,2.7667641,0.03815,11.646,,513.011
HATS-14,0,Transit,2015,HATSouth,2.766764,,11.657,,513.011
HATS-14,0,Transit,2015,HATSouth,2.766763,,,,513.011
HATS-14,1,Transit,2015,HATSouth,2.7667641,0.03815,11.646,1276,513.011
HATS-14,0,Transit,2015,HATSouth,2.76674788,,12.022,1210,513.011
HATS-15,1,Transit,2016,HATSouth,1.74748753,0.02712,12.386,1505,1139.55
HATS-16,0,Transit,2016,HATSouth,2.6865009,,,,757.044
HATS-16,1,Transit,2016,HATSouth,2.686502,0.03744,14.572,1592,757.044
HATS-16,0,Transit,2016,HATSouth,2.68650415,,13.747,1432,757.044
HATS-16,0,Transit,2016,HATSouth,2.6865049,,,,757.044
HATS-17,1,Transit,2016,HATSouth,16.254611,0.1308,8.709,814,400.331
HATS-17,0,Transit,2016,HATSouth,16.2546802,,9.682,787,400.331
HATS-17,0,Transit,2016,HATSouth,16.254613,,,,400.331
HATS-17,0,Transit,2016,HATSouth,16.254686,,,,400.331
HATS-18,0,Transit,2016,Multiple Observatories,0.8378434,,,,624.368
HATS-18,0,Transit,2016,Multiple Observatories,0.8378434,0.01761,14.986,2060,624.368
HATS-18,0,Transit,2016,Multiple Observatories,0.8378445,,15.116,1983,624.368
HATS-18,1,Transit,2016,Multiple Observatories,0.83784,0.0174,14.897,2069,624.368
HATS-18,0,Transit,2016,Multiple Observatories,0.83784,,,,624.368
HATS-2,0,Transit,2013,HATSouth,1.35413371,,,,341.925
HATS-2,0,Transit,2013,HATSouth,1.3541351,,14.069,1415,341.925
HATS-2,0,Transit,2013,HATSouth,1.354133,,,,341.925
HATS-2,0,Transit,2013,HATSouth,1.354133,0.02298,13.092,,341.925
HATS-2,1,Transit,2013,HATSouth,1.354133,0.023,13.092,1577,341.925
HATS-22,0,Transit,2017,HATSouth,4.7228189,,,,229.518
HATS-22,0,Transit,2017,HATSouth,4.72281583,,,,229.518
HATS-22,0,Transit,2017,HATSouth,4.7228127,,,,229.518
HATS-22,0,Transit,2017,HATSouth,4.72281463,,12.138,828,229.518
HATS-22,1,Transit,2017,HATSouth,4.7228124,0.05025,10.682,858,229.518
HATS-23,0,Transit,2017,HATSouth,2.160344,,22.504,,639.004
HATS-23,1,Transit,2017,HATSouth,2.1605156,0.03397,20.849,1654,639.004
HATS-24,0,Transit,2017,HATSouth,1.34849676,,,,494.182
HATS-24,1,Transit,2017,HATSouth,1.3484978,0.0238,15.637,2166,494.182
HATS-24,0,Transit,2017,HATSouth,1.34849553,,15.919,1840,494.182
HATS-24,0,Transit,2017,HATSouth,1.3484954,0.02547,16.668,2067,494.182
HATS-24,0,Transit,2017,HATSouth,1.3484963,,,,494.182
HATS-24,0,Transit,2017,HATSouth,1.3484975,0.02576,17.374,,494.182
HATS-24,0,Transit,2017,HATSouth,1.3484978,,,,494.182
HATS-25,1,Transit,2016,HATSouth,4.2986432,0.05163,14.123,1277,471.158
HATS-25,0,Transit,2016,HATSouth,4.2986477,,14.188,1184,471.158
HATS-25,0,Transit,2016,HATSouth,4.2986471,,,,471.158
HATS-25,0,Transit,2016,HATSouth,4.298643,,,,471.158
HATS-26,1,Transit,2016,HATSouth,3.3023881,0.04735,19.616,1918,861.843
HATS-26,0,Transit,2016,HATSouth,3.3023886,,,,861.843
HATS-26,0,Transit,2016,HATSouth,3.30239073,,17.1,1754,861.843
HATS-26,0,Transit,2016,HATSouth,3.3023935,,,,861.843
HATS-27,0,Transit,2016,HATSouth,4.63704787,,15.305,1544,816.988
HATS-27,0,Transit,2016,HATSouth,4.6370495,,,,816.988
HATS-27,0,Transit,2016,HATSouth,4.637038,,,,816.988
HATS-27,1,Transit,2016,HATSouth,4.637038,0.0611,16.814,1659,816.988
HATS-28,0,Transit,2016,HATSouth,3.1810778,,,,535.383
HATS-28,1,Transit,2016,HATSouth,3.1810781,0.04131,13.384,1253,535.383
HATS-28,0,Transit,2016,HATSouth,3.1810697,,,,535.383
HATS-28,0,Transit,2016,HATSouth,3.180362,,13.446,,535.383
HATS-29,1,Transit,2016,HATSouth,4.6058749,0.05475,14.022,1212,353.891
HATS-29,0,Transit,2016,HATSouth,4.6058791,,,,353.891
HATS-29,0,Transit,2016,HATSouth,4.606184,,12.962,,353.891
HATS-29,0,Transit,2016,HATSouth,4.6058754,,,,353.891
HATS-3,0,Transit,2013,HATSouth,3.54785,,11.097,,411.211
HATS-3,0,Transit,2013,HATSouth,3.54785015,,,,411.211
HATS-3,0,Transit,2013,HATSouth,3.547854,,14.582,1505,411.211
HATS-3,0,Transit,2013,HATSouth,3.547851,,,,411.211
HATS-3,0,Transit,2013,HATSouth,3.547851,0.04852,15.48,,411.211
HATS-3,0,Transit,2013,HATSouth,3.547851,0.0485,15.48,,411.211
HATS-3,1,Transit,2013,HATSouth,3.547851,0.0485,15.48,1648,411.211
HATS-30,0,Transit,2016,HATSouth,3.17434739,,14.407,1321,342.14
HATS-30,0,Transit,2016,HATSouth,3.1743516,,,,342.14
HATS-30,0,Transit,2016,HATSouth,3.174351,,,,342.14
HATS-30,1,Transit,2016,HATSouth,3.1743516,0.04354,13.171,1414,342.14
HATS-31,1,Transit,2016,HATSouth,3.37796,0.0478,18.383,1823,773.974
HATS-32,1,Transit,2016,HATSouth,2.8126548,0.04024,14,1437,745.116
HATS-32,0,Transit,2016,HATSouth,2.81264847,,12.066,1270,745.116
HATS-32,0,Transit,2016,HATSouth,2.8126535,,,,745.116
HATS-32,0,Transit,2016,HATSouth,2.8126545,,,,745.116
HATS-33,1,Transit,2016,HATSouth,2.5495551,0.03727,13.787,1429,248.46
HATS-33,0,Transit,2016,HATSouth,2.5495614,,,,248.46
HATS-33,0,Transit,2016,HATSouth,2.54956589,,12.888,1338,248.46
HATS-33,0,Transit,2016,HATSouth,2.549564,0.03731,12.935,,248.46
HATS-33,0,Transit,2016,HATSouth,2.5495633,,,,248.46
HATS-33,0,Transit,2016,HATSouth,2.5495627,,,,248.46
HATS-34,0,Transit,2016,HATSouth,2.106161,,,,508.842
HATS-34,1,Transit,2016,HATSouth,2.1061607,0.03166,16.029,1445,508.842
HATS-34,0,Transit,2016,HATSouth,2.10616073,,12.543,1308,508.842
HATS-35,0,Transit,2016,HATSouth,1.8210014,,,,514.555
HATS-35,1,Transit,2016,HATSouth,1.8209993,0.03199,16.41,2037,514.555
HATS-35,0,Transit,2016,HATSouth,1.82069,,15.659,1958,514.555
HATS-35,0,Transit,2016,HATSouth,1.8210003,,,,514.555
HATS-36,0,Transit,2018,HATSouth,4.175235,,12.77,,856.436
HATS-36,1,Transit,2018,HATSouth,4.175186,0.0523,12.92,1203,856.436
HATS-36,0,Transit,2018,HATSouth,4.175187,,13.4,,856.436
HATS-36,0,Transit,2018,HATSouth,4.1752387,0.05425,13.843,1356,856.436
HATS-37 A,1,Transit,2020,HATSouth,4.3315366,0.04913,6.793,1085,211.896
HATS-38,1,Transit,2020,HATSouth,4.375021,0.05036,6.882,1294,343.525
HATS-38,0,Transit,2020,HATSouth,4.375042,,,,343.525
HATS-39,1,Transit,2018,HATSouth,4.5776348,0.06007,17.598,1645,878.521
HATS-39,0,Transit,2018,HATSouth,4.5776375,,,,878.521
HATS-39,0,Transit,2018,HATSouth,4.57686515,,19.157,1600,878.521
HATS-39,0,Transit,2018,HATSouth,4.5776346,,,,878.521
HATS-4,1,Transit,2014,HATSouth,2.516729,0.0362,11.433,1315,416.459
HATS-4,0,Transit,2014,HATSouth,2.516729,0.03623,11.433,,416.459
HATS-4,0,Transit,2014,HATSouth,2.5167281,,,,416.459
HATS-4,0,Transit,2014,HATSouth,2.5167278,,,,416.459
HATS-4,0,Transit,2014,HATSouth,2.51672572,,12.908,1240,416.459
HATS-4,0,Transit,2014,HATSouth,2.51672626,,,,416.459
HATS-40,0,Transit,2018,HATSouth,3.2642736,,,,1342.29
HATS-40,1,Transit,2018,HATSouth,3.2642736,0.04997,17.71,2101,1342.29
HATS-40,0,Transit,2018,HATSouth,3.26331647,,15.09,1913,1342.29
HATS-41,0,Transit,2018,HATSouth,4.193649,,,,737.668
HATS-41,0,Transit,2018,HATSouth,4.1936656,,,,737.668
HATS-41,1,Transit,2018,HATSouth,4.193649,0.0583,14.908,1710,737.668
HATS-41,0,Transit,2018,HATSouth,4.19334221,,11.543,1532,737.668
HATS-42,0,Transit,2018,HATSouth,2.29210299,,,,800.377
HATS-42,0,Transit,2018,HATSouth,2.292102,,,,800.377
HATS-42,1,Transit,2018,HATSouth,2.292102,0.03689,15.693,1856,800.377
HATS-42,0,Transit,2018,HATSouth,2.29203483,,13.25,1622,800.377
HATS-43,1,Transit,2018,HATSouth,4.3888497,0.04944,13.227,1003,362.273
HATS-43,0,Transit,2018,HATSouth,4.38885165,,13.899,950,362.273
HATS-43,0,Transit,2018,HATSouth,4.3888499,,,,362.273
HATS-43,0,Transit,2018,HATSouth,4.3888493,,,,362.273
HATS-43,0,Transit,2018,HATSouth,4.3888479,,,,362.273
HATS-44,0,Transit,2018,HATSouth,2.74390294,,11.929,1067,446.035
HATS-44,0,Transit,2018,HATSouth,2.7439001,,,,446.035
HATS-44,1,Transit,2018,HATSouth,2.7439004,0.03649,11.96,1161,446.035
HATS-45,0,Transit,2018,HATSouth,4.1876183,,,,772.11
HATS-45,0,Transit,2018,HATSouth,4.18761538,,13.9,1361,772.11
HATS-45,0,Transit,2018,HATSouth,4.187618,,,,772.11
HATS-45,1,Transit,2018,HATSouth,4.1876244,0.05511,14.415,1518,772.11
HATS-46,0,Transit,2018,HATSouth,4.7423714,,,,453.808
HATS-46,1,Transit,2018,HATSouth,4.7423729,0.05367,10.122,1054,453.808
HATS-46,0,Transit,2018,HATSouth,4.74237848,,10.39,971,453.808
HATS-46,0,Transit,2018,HATSouth,4.7423719,,,,453.808
HATS-47,1,Transit,2020,HATSouth,3.9228038,0.04269,12.52,853,300.67
HATS-47,0,Transit,2020,HATSouth,3.92280161,,13.337,788,300.67
HATS-47,0,Transit,2020,HATSouth,3.9228021,,,,300.67
HATS-47,0,Transit,2020,HATSouth,3.9228038,,,,300.67
HATS-48 A,0,Transit,2020,HATSouth,3.1316671,,,,263.609
HATS-48 A,1,Transit,2020,HATSouth,3.1316666,0.03769,8.967,955,263.609
HATS-48 A,0,Transit,2020,HATSouth,3.13165894,,8.831,891,263.609
HATS-49,1,Transit,2020,HATSouth,4.1480467,0.04515,8.575,835,324.413
HATS-5,1,Transit,2014,HATSouth,4.763387,0.0542,10.223,1025,246.384
HATS-5,0,Transit,2014,HATSouth,4.7633877,,,,246.384
HATS-5,0,Transit,2014,HATSouth,4.763387,0.05428,10.223,,246.384
HATS-5,0,Transit,2014,HATSouth,4.76339524,,10.22,938,246.384
HATS-5,0,Transit,2014,HATSouth,4.76339004,,,,246.384
HATS-5,0,Transit,2014,HATSouth,4.76339,,,,246.384
HATS-50,1,Transit,2017,HATSouth,3.8297015,0.05046,12.666,,756.742
HATS-51,0,Transit,2017,HATSouth,3.3488703,,,,389.57
HATS-51,0,Transit,2017,HATSouth,3.34890382,,13.011,1330,389.57
HATS-51,1,Transit,2017,HATSouth,3.3488702,0.04639,15.805,1553,389.57
HATS-51,0,Transit,2017,HATSouth,3.3488693,,,,389.57
HATS-52,0,Transit,2017,HATSouth,1.3666563,,15.437,1676,555.134
HATS-52,1,Transit,2017,HATSouth,1.36665436,0.02498,15.491,1834,555.134
HATS-52,0,Transit,2017,HATSouth,1.36665569,,,,555.134
HATS-53,0,Transit,2017,HATSouth,3.8537783,,,,585.77
HATS-53,1,Transit,2017,HATSouth,3.8537768,0.04753,15.02,1312,585.77
HATS-53,0,Transit,2017,HATSouth,3.8537616,,14.714,1298,585.77
HATS-54,0,Transit,2019,HATSouth,2.5441828,0.03763,11.96,1625,748.585
HATS-54,0,Transit,2019,HATSouth,2.5441537,,10.558,1301,748.585
HATS-54,1,Transit,2019,HATSouth,2.5441765,0.037,11.377,1429,748.585
HATS-55,0,Transit,2019,HATSouth,4.2041844,,,,609.838
HATS-55,0,Transit,2019,HATSouth,4.2041585,,12.102,1210,609.838
HATS-55,0,Transit,2019,HATSouth,4.2042001,,,,609.838
HATS-55,1,Transit,2019,HATSouth,4.2042001,0.05412,14.022,1367,609.838
HATS-56,1,Transit,2019,HATSouth,4.324799,0.06043,18.921,1902,564.409
HATS-56,0,Transit,2019,HATSouth,4.3247708,,17.026,1597,564.409
HATS-56,0,Transit,2019,HATSouth,4.3247661,,,,564.409
HATS-57,0,Transit,2019,HATSouth,2.35061769,,,,279.485
HATS-57,0,Transit,2019,HATSouth,2.3506186,,12.801,1361,279.485
HATS-57,1,Transit,2019,HATSouth,2.350621,0.03493,12.767,1413,279.485
HATS-57,0,Transit,2019,HATSouth,2.3506209,,,,279.485
HATS-58 A,1,Transit,2019,HATSouth,4.2180896,0.05798,12.274,1721,403.591
HATS-58 A,0,Transit,2019,HATSouth,4.21806868,,9.868,1128,403.591
HATS-58 A,0,Transit,2019,HATSouth,4.2180732,,,,403.591
HATS-59,0,Transit,2018,HATSouth,5.4161129,,13.375,1087,642.884
HATS-59,0,Transit,2018,HATSouth,5.4161077,,,,642.884
HATS-59,1,Transit,2018,HATSouth,5.416081,0.06112,12.621,1128,642.884
HATS-59,1,Radial Velocity,2018,HATSouth,1422,2.504,,176,642.884
HATS-6,0,Transit,2015,HATSouth,3.3252722,,,,169.318
HATS-6,0,Transit,2015,HATSouth,3.32527029,,11.504,669,169.318
HATS-6,0,Transit,2015,HATSouth,3.3252715,,,,169.318
HATS-6,1,Transit,2015,HATSouth,3.3252725,0.03623,11.187,713,169.318
HATS-6,0,Transit,2015,HATSouth,3.32526423,,,,169.318
HATS-60,0,Transit,2018,HATSouth,3.5608064,,,,486.474
HATS-60,0,Transit,2018,HATSouth,3.5608112,,10.497,1390,486.474
HATS-60,0,Transit,2018,HATSouth,3.560832,,,,486.474
HATS-60,1,Transit,2018,HATSouth,3.560829,0.04708,12.924,1528,486.474
HATS-61,0,Transit,2018,HATSouth,7.817932,,,,679.761
HATS-61,1,Transit,2018,HATSouth,7.817953,0.07908,13.395,1226,679.761
HATS-61,0,Transit,2018,HATSouth,7.8181434,,9.952,1125,679.761
HATS-62,1,Transit,2018,HATSouth,3.2768837,0.04163,11.825,1237,523.067
HATS-63,0,Transit,2018,HATSouth,3.05662771,,12.518,1266,623.232
HATS-63,0,Transit,2018,HATSouth,3.0566527,,,,623.232
HATS-63,0,Transit,2018,HATSouth,3.0566454,,,,623.232
HATS-63,1,Transit,2018,HATSouth,3.0566527,0.04026,13.529,1398,623.232
HATS-64,0,Transit,2018,HATSouth,4.90969003,,15.255,1680,1080.15
HATS-64,1,Transit,2018,HATSouth,4.908897,0.06562,18.82,1793,1080.15
HATS-64,0,Transit,2018,HATSouth,4.908886,,,,1080.15
HATS-65,1,Transit,2018,HATSouth,3.105161,0.04497,16.825,1634,493.32
HATS-66,0,Transit,2018,HATSouth,3.14138245,,13.071,1762,1477.98
HATS-66,0,Transit,2018,HATSouth,3.141439,,,,1477.98
HATS-66,1,Transit,2018,HATSouth,3.1414391,0.04714,15.816,1998,1477.98
HATS-67,0,Transit,2018,HATSouth,1.6091845,,16.767,1587,960.109
HATS-67,1,Transit,2018,HATSouth,1.6091788,0.03032,18.887,2193,960.109
HATS-67,0,Transit,2018,HATSouth,1.60918292,,,,960.109
HATS-68,0,Transit,2018,HATSouth,3.5862207,,,,603.955
HATS-68,1,Transit,2018,HATSouth,3.5862202,0.05071,13.809,1741,603.955
HATS-68,0,Transit,2018,HATSouth,3.5862962,,16.475,1658,603.955
HATS-68,0,Transit,2018,HATSouth,3.5862203,,,,603.955
HATS-69,0,Transit,2018,HATSouth,2.22505138,,10.093,1188,414.537
HATS-69,0,Transit,2018,HATSouth,2.2252525,,,,414.537
HATS-69,1,Transit,2018,HATSouth,2.2252577,0.03211,10.593,1296,414.537
HATS-69,0,Transit,2018,HATSouth,2.2252577,,,,414.537
HATS-7,1,Transit,2015,HATSouth,3.185315,0.04012,6.311,1084,240.707
HATS-7,0,Transit,2015,HATSouth,3.18533248,,5.893,973,240.707
HATS-7,0,Transit,2015,HATSouth,3.185315,0.04012,6.311,,240.707
HATS-7,0,Transit,2015,HATSouth,3.1853149,,,,240.707
HATS-70,0,Transit,2019,HATSouth,1.8882393,,,,1458.83
HATS-70,0,Transit,2019,HATSouth,1.8882378,,,,1458.83
HATS-70,1,Transit,2019,HATSouth,1.8882378,0.03632,15.513,2730,1458.83
HATS-70,0,Transit,2019,HATSouth,1.88819939,,14.585,2801,1458.83
HATS-71,0,Transit,2020,HATSouth,3.7955184,,,,140.225
HATS-71,1,Transit,2020,HATSouth,3.7955202,0.03745,11.478,587,140.225
HATS-71,0,Transit,2020,HATSouth,3.79551778,,10.326,526,140.225
HATS-71,0,Transit,2020,HATSouth,3.7955195,,,,140.225
HATS-72,0,Transit,2020,HATSouth,7.327945,,9.49,697,127.589
HATS-72,0,Transit,2020,HATSouth,7.3279504,,,,127.589
HATS-72,1,Transit,2020,HATSouth,7.3279474,0.066517,8.097,739,127.589
HATS-74 A,1,Transit,2021,HATSouth,1.73185606,0.02384,11.568,895,299.389
HATS-74 A,0,Transit,2021,HATSouth,1.73185108,,11.689,778,299.389
HATS-75,0,Transit,2021,HATSouth,2.78865403,,9.665,685,194.964
HATS-75,1,Transit,2021,HATSouth,2.7886556,0.032742,9.909,772,194.964
HATS-76,1,Transit,2021,HATSouth,1.9416423,0.02658,12.094,940,385.689
HATS-76,0,Transit,2021,HATSouth,1.94163657,,11.757,857,385.689
HATS-77,0,Transit,2021,HATSouth,3.08762952,,14.053,798,436.176
HATS-77,1,Transit,2021,HATSouth,3.0876262,0.03607,13.058,828,436.176
HATS-8,0,Transit,2015,HATSouth,3.583893,0.04668,9.785,,794.637
HATS-8,1,Transit,2015,HATSouth,3.583893,0.04667,9.785,1324,794.637
HATS-9,1,Transit,2015,HATSouth,1.915291,0.0312,13.85,1746,638.7
HATS-9,0,Transit,2015,HATSouth,1.915311,,13.141,,638.7
HATS-9,0,Transit,2015,HATSouth,1.9153073,0.03048,11.938,1823,638.7
HATS-9,0,Transit,2015,HATSouth,1.9153073,0.03048,11.938,,638.7
HATS-9,0,Transit,2015,HATSouth,1.915298,,17.2,,638.7
HATS-9,0,Transit,2015,HATSouth,1.9153196,,14.42,,638.7
HD 100546,1,Imaging,2014,Paranal Observatory,,53,77.342,,109.677
HD 100655,1,Radial Velocity,2011,Bohyunsan Optical Astronomical Observatory,157.57001,0.68,,,137.178
HD 100655,0,Radial Velocity,2011,Bohyunsan Optical Astronomical Observatory,157.57,0.76,,,137.178
HD 100777,0,Radial Velocity,2007,La Silla Observatory,383.7,1.03,,,49.5336
HD 100777,1,Radial Velocity,2007,La Silla Observatory,383.70001,1.03,,,49.5336
HD 10180,0,Radial Velocity,2010,La Silla Observatory,5.75979,0.0641,,,38.9607
HD 10180,1,Radial Velocity,2010,La Silla Observatory,5.75969,0.06412,,,38.9607
HD 10180,0,Radial Velocity,2010,La Silla Observatory,16.3579,0.1286,,,38.9607
HD 10180,1,Radial Velocity,2010,La Silla Observatory,16.357,0.12859,,,38.9607
HD 10180,0,Radial Velocity,2010,La Silla Observatory,49.745,0.2699,,,38.9607
HD 10180,1,Radial Velocity,2010,La Silla Observatory,49.748,0.2699,,,38.9607
HD 10180,1,Radial Velocity,2010,La Silla Observatory,122.744,0.4929,,,38.9607
HD 10180,0,Radial Velocity,2010,La Silla Observatory,122.76,0.4929,,,38.9607
HD 10180,0,Radial Velocity,2010,La Silla Observatory,601.2,1.422,,,38.9607
HD 10180,1,Radial Velocity,2010,La Silla Observatory,604.67,1.427,,,38.9607
HD 10180,0,Radial Velocity,2010,La Silla Observatory,2222,3.4,,,38.9607
HD 10180,1,Radial Velocity,2010,La Silla Observatory,2205,3.381,,,38.9607
HD 101930,1,Radial Velocity,2005,La Silla Observatory,70.46,0.3,,,30.0274
HD 101930,0,Radial Velocity,2005,La Silla Observatory,70.46,0.302,,,30.0274
HD 102117,0,Radial Velocity,2005,La Silla Observatory,20.8,0.15,,,39.5792
HD 102117,0,Radial Velocity,2005,La Silla Observatory,20.8133,0.1532,,,39.5792
HD 102117,0,Radial Velocity,2005,La Silla Observatory,20.67,0.149,,,39.5792
HD 102117,0,Radial Velocity,2005,La Silla Observatory,20.8079,0.1532,,,39.5792
HD 102117,1,Radial Velocity,2005,La Silla Observatory,20.8133,0.15,,,39.5792
HD 102195,0,Radial Velocity,2006,Kitt Peak National Observatory,4.079,0.049,,,29.3386
HD 102195,0,Radial Velocity,2006,Kitt Peak National Observatory,4.11434,0.0491,,,29.3386
HD 102195,1,Radial Velocity,2006,Kitt Peak National Observatory,4.11377,0.05,,,29.3386
HD 102195,0,Radial Velocity,2006,Kitt Peak National Observatory,4.113775,,,,29.3386
HD 102272,1,Radial Velocity,2008,McDonald Observatory,127.58,0.51,,,347.097
HD 102272,0,Radial Velocity,2008,McDonald Observatory,127.58,0.614,,,347.097
HD 102272,0,Radial Velocity,2008,McDonald Observatory,,0.58,,,347.097
HD 102329,1,Radial Velocity,2011,W. M. Keck Observatory,778.09998,1.81,,,217.107
HD 102329,0,Radial Velocity,2011,W. M. Keck Observatory,778.1,2.03,,,217.107
HD 102329,1,Radial Velocity,2018,W. M. Keck Observatory,1123,,,,217.107
HD 102365,1,Radial Velocity,2010,Anglo-Australian Telescope,122.1,0.46,,,9.2894
HD 102843,1,Radial Velocity,2019,Las Campanas Observatory,3090.942,4.074,,,62.758
HD 102956,1,Radial Velocity,2010,W. M. Keck Observatory,6.4947,0.0807,,,121.89
HD 102956,0,Radial Velocity,2010,W. M. Keck Observatory,6.495,0.081,,,121.89
HD 102956,0,Radial Velocity,2010,W. M. Keck Observatory,6.4948,0.08,,,121.89
HD 103197,0,Radial Velocity,2009,La Silla Observatory,47.84,0.249,,,57.1463
HD 103197,1,Radial Velocity,2009,La Silla Observatory,47.84,0.25,,,57.1463
HD 103720,1,Radial Velocity,2014,La Silla Observatory,4.5557,0.0498,,,45.5352
HD 103774,1,Radial Velocity,2013,La Silla Observatory,5.8881,0.07,,,56.4089
HD 103891,1,Radial Velocity,2022,La Silla Observatory,1919,3.27,,,55.5213
HD 103949,1,Radial Velocity,2019,Las Campanas Observatory,120.878,0.439,,,26.4997
HD 104067,1,Radial Velocity,2009,La Silla Observatory,55.806,0.26,,,20.3632
HD 104067,0,Radial Velocity,2009,La Silla Observatory,55.828,0.2673,,,20.3632
HD 104067,0,Radial Velocity,2009,La Silla Observatory,55.806,0.2643,,,20.3632
HD 10442,1,Radial Velocity,2014,W. M. Keck Observatory,1032.3,2.01,,,135.374
HD 10442,0,Radial Velocity,2014,W. M. Keck Observatory,1043,2.335,,,135.374
HD 10442,0,Radial Velocity,2014,W. M. Keck Observatory,1053.2,2.03,,,135.374
HD 10442,0,Radial Velocity,2014,W. M. Keck Observatory,1043,2.34,,,135.374
HD 104985,1,Radial Velocity,2003,Okayama Astrophysical Observatory,199.505,0.95,,,100.576
HD 104985,0,Radial Velocity,2003,Okayama Astrophysical Observatory,198.2,0.78,,,100.576
HD 105618,1,Radial Velocity,2022,Multiple Observatories,10.02244605,0.09124,,,70.0837
HD 105618,1,Radial Velocity,2022,Multiple Observatories,77114.07158,35.747028,,,70.0837
HD 105779,1,Radial Velocity,2022,La Silla Observatory,2412,3.38,,,55.2411
HD 106252,0,Radial Velocity,2002,Lick Observatory,1535,2.655,,,38.185
HD 106252,0,Radial Velocity,2002,Lick Observatory,1600,2.7,,,38.185
HD 106252,0,Radial Velocity,2002,Lick Observatory,1600,2.7033,,,38.185
HD 106252,0,Radial Velocity,2002,Lick Observatory,1531,2.611,,,38.185
HD 106252,1,Radial Velocity,2002,Lick Observatory,1531,2.61,,,38.185
HD 106270,1,Radial Velocity,2011,W. M. Keck Observatory,1888,3.34,,,93.808
HD 106270,0,Radial Velocity,2011,W. M. Keck Observatory,1872,,,,93.808
HD 106270,0,Radial Velocity,2011,W. M. Keck Observatory,2890,4.3,,,93.808
HD 106315,0,Transit,2017,K2,9.5521,0.09012,2.23,,109.353
HD 106315,1,Transit,2017,K2,9.55237,0.0907,2.44,1153,109.353
HD 106315,0,Transit,2017,K2,9.55804,0.0905,2.32,1046,109.353
HD 106315,0,Transit,2017,K2,9.554515,,2.329,,109.353
HD 106315,0,Transit,2017,K2,9.55385,0.08887,2.4,1146,109.353
HD 106315,0,Transit,2017,K2,21.05603,,4.786,,109.353
HD 106315,0,Transit,2017,K2,21.05683,,4.05,,109.353
HD 106315,0,Transit,2017,K2,21.0576,0.1526,3.95,,109.353
HD 106315,0,Transit,2017,K2,21.058,0.1503,4.4,874,109.353
HD 106315,0,Transit,2017,K2,21.05788,0.1533,4.31,804,109.353
HD 106315,1,Transit,2017,K2,21.05704,0.1536,4.35,886,109.353
HD 106315,0,Transit,2017,K2,21.057504,,4.294,,109.353
HD 10647,1,Radial Velocity,2006,W. M. Keck Observatory,989.2,2.015,,,17.3357
HD 10647,0,Radial Velocity,2006,W. M. Keck Observatory,1003,2.03,,,17.3357
HD 106515 A,1,Radial Velocity,2012,La Silla Observatory,3586.860893,4.496414,,,34.0915
HD 106515 A,0,Radial Velocity,2012,La Silla Observatory,3626,4.48,,,34.0915
HD 106515 A,0,Radial Velocity,2012,La Silla Observatory,3630,4.59,,,34.0915
HD 106515 A,0,Radial Velocity,2012,La Silla Observatory,,,,,34.0915
HD 106906,0,Imaging,2013,Las Campanas Observatory,,,,1820,103.029
HD 106906,1,Imaging,2013,Las Campanas Observatory,,650,,1800,103.029
HD 10697,0,Radial Velocity,1999,W. M. Keck Observatory,1075.69,2.14,,,33.1205
HD 10697,0,Radial Velocity,1999,W. M. Keck Observatory,1075.2,2.131,,,33.1205
