hostname,default_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,sy_dist
2MASS J01033563-5515561 A,1,Imaging,2013,Paranal Observatory,,84,,,
2MASS J01225093-2439505,0,Imaging,2013,W. M. Keck Observatory,,,11.209,1600,33.8281
2MASS J01225093-2439505,1,Imaging,2013,W. M. Keck Observatory,,52,,,33.8281
2MASS J02192210-3925225,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156,16.141,,
2MASS J04414489+2301513,1,Imaging,2010,Hubble Space Telescope,,15,,,
2MASS J12073346-3932539,1,Imaging,2004,Paranal Observatory,,55,,1250,64.308
2MASS J12073346-3932539,0,Imaging,2004,Paranal Observatory,,46,,1150,64.308
2MASS J19383260+4603591,1,Eclipse Timing Variations,2015,Kepler,406,,,,396.332
2MASS J19383260+4603591,0,Eclipse Timing Variations,2015,Kepler,416,0.92,,,396.332
2MASS J22362452+4751425,1,Imaging,2016,W. M. Keck Observatory,,230,,,69.5737
30 Ari B,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.1,0.995,,,44.657
30 Ari B,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,345.4,1.01,,,44.657
30 Ari B,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,,,44.657
4 UMa,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,0.87,,,73.4603
42 Dra,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1.19,,,90.6545
47 UMa,0,Radial Velocity,1996,Lick Observatory,1076.6,2.1,,,13.7967
47 UMa,1,Radial Velocity,1996,Lick Observatory,1078,2.1,,,13.7967
47 UMa,0,Radial Velocity,1996,Lick Observatory,1100.8,2.11,,,13.7967
47 UMa,0,Radial Velocity,1996,Lick Observatory,1083.2,2.11,,,13.7967
47 UMa,0,Radial Velocity,1996,Lick Observatory,1076.6,2.059,,,13.7967
47 UMa,1,Radial Velocity,2001,Lick Observatory,2391,3.6,,,13.7967
47 UMa,0,Radial Velocity,2001,Lick Observatory,7586,7.73,,,13.7967
47 UMa,0,Radial Velocity,2001,Lick Observatory,2287,3.404,,,13.7967
47 UMa,1,Radial Velocity,2009,Lick Observatory,14002,11.6,,,13.7967
47 UMa,0,Radial Velocity,2009,Lick Observatory,19000,13.8,,,13.7967
51 Eri,1,Imaging,2015,Gemini Observatory,,13.2,,700,29.7575
51 Eri,0,Imaging,2015,Gemini Observatory,14965,14,,,29.7575
51 Eri,0,Imaging,2015,Gemini Observatory,11688,12,,,29.7575
51 Peg,0,Radial Velocity,1995,Haute-Provence Observatory,4.2307969,0.05235,,,15.4614
51 Peg,0,Radial Velocity,1995,Haute-Provence Observatory,4.2293,,,,15.4614
51 Peg,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,,,15.4614
51 Peg,0,Radial Velocity,1995,Haute-Provence Observatory,4.231,0.052,,,15.4614
51 Peg,0,Radial Velocity,1995,Haute-Provence Observatory,4.23077,0.052,,,15.4614
55 Cnc,1,Radial Velocity,1996,Lick Observatory,14.6516,0.1134,,,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.65152,0.115227,,,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.65126,0.1138,,,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.67,0.115,,,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.651,0.1134,,,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.648,0.11,,,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.653,0.115,,,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.65171,0.1162,,,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.6,0.113,,700,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.647,0.115,,,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.65162,0.115,,,12.5855
55 Cnc,0,Radial Velocity,1996,Lick Observatory,14.465314,0.11339,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,43.93,0.24,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,44.3787,0.238,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,44.3827,0.2432,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,44.4175,0.241376,,,12.5855
55 Cnc,1,Radial Velocity,2004,McDonald Observatory,44.3989,0.2373,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,44.3446,0.24,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,44.38,0.237,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,44.373,0.23735,,,12.5855
55 Cnc,0,Radial Velocity,2002,Lick Observatory,5370,5.84,,,12.5855
55 Cnc,0,Radial Velocity,2002,Lick Observatory,5218,5.77,,,12.5855
55 Cnc,0,Radial Velocity,2002,Lick Observatory,4909,5.47,,,12.5855
55 Cnc,0,Radial Velocity,2002,Lick Observatory,4545,5.28,,,12.5855
55 Cnc,0,Radial Velocity,2002,Lick Observatory,4825,5.503,,,12.5855
55 Cnc,0,Radial Velocity,2002,Lick Observatory,4820,5.54,,,12.5855
55 Cnc,0,Radial Velocity,2002,Lick Observatory,4867,5.446,,,12.5855
55 Cnc,1,Radial Velocity,2002,Lick Observatory,5574.2,5.957,,,12.5855
55 Cnc,0,Radial Velocity,2002,Lick Observatory,4517.4,5.257,,,12.5855
55 Cnc,0,Radial Velocity,2002,Lick Observatory,5360,5.9,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,0.737,,1.897,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,0.73654582,,1.915,1831,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,0.7365515,0.015691,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,0.7365478,0.015439,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,,0.01544,1.92,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,0.736539,0.01544,1.91,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,0.736546,0.01583,2.173,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,2.808,0.038,,,12.5855
55 Cnc,1,Radial Velocity,2004,McDonald Observatory,0.7365474,0.01544,1.875,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,2.79674,0.0377,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,,,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,0.7365417,,,,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,0.7365445,0.01583,,,12.5855
